Input_PWM;time_s;Current_A;Potencia_W;Current_Pasos;Velocidad_rpm
1100.00;1.00;0.18;2.16;0.591;4495.00
1101.00;2.00;0.184;2.208;0.699;4477.02
1102.00;3.00;0.182;2.184;0.616;4455.00
1103.00;4.00;0.182;2.184;0.642;4437.04
1104.00;5.00;0.183;2.196;0.585;4425.00
1105.00;6.00;0.182;2.184;0.562;4404.13
1106.00;7.00;0.182;2.184;0.59;4400.00
1107.00;8.00;0.181;2.172;0.608;4382.08
1108.00;9.00;0.18;2.16;0.657;4370.00
1109.00;10.00;0.18;2.16;0.652;4362.09
1110.00;11.00;0.18;2.16;0.604;4342.11
1111.00;12.00;0.179;2.148;0.63;4332.11
1112.00;13.00;0.179;2.148;0.62;4322.12
1113.00;14.00;0.178;2.136;0.568;4315.00
1114.00;15.00;0.176;2.112;0.621;4297.14
1115.00;16.00;0.178;2.136;0.617;4290.00
1116.00;17.00;0.178;2.136;0.611;4277.15
1117.00;18.00;0.175;2.1;0.592;4262.16
1118.00;19.00;0.177;2.124;0.608;4247.17
1119.00;20.00;0.177;2.124;0.602;4240.00
1120.00;21.00;0.175;2.1;0.599;4227.18
1121.00;22.00;0.177;2.124;0.58;4220.00
1122.00;23.00;0.176;2.112;0.584;4204.39
1123.00;24.00;0.174;2.088;0.61;4195.00
1124.00;25.00;0.174;2.088;0.592;4177.22
1125.00;26.00;0.172;2.064;0.592;4170.00
1126.00;27.00;0.174;2.088;0.625;4157.23
1127.00;28.00;0.173;2.076;0.567;4150.00
1128.00;29.00;0.172;2.064;0.594;4129.49
1129.00;30.00;0.173;2.076;0.629;4120.00
1130.00;31.00;0.172;2.064;0.583;4107.26
1131.00;32.00;0.172;2.064;0.588;4097.27
1132.00;33.00;0.173;2.076;0.583;4085.00
1133.00;34.00;0.172;2.064;0.605;4072.29
1134.00;35.00;0.173;2.076;0.581;4052.30
1135.00;36.00;0.173;2.076;0.622;4042.31
1136.00;37.00;0.171;2.052;0.608;4030.00
1137.00;38.00;0.17;2.04;0.597;4017.32
1138.00;39.00;0.17;2.04;0.587;4005.00
1139.00;40.00;0.169;2.028;0.555;3992.34
1140.00;41.00;0.17;2.04;0.629;3977.35
1141.00;42.00;0.169;2.028;0.629;3962.36
1142.00;43.00;0.168;2.016;0.551;3950.00
1143.00;44.00;0.167;2.004;0.548;3937.37
1144.00;45.00;0.168;2.016;0.611;3925.00
1145.00;46.00;0.168;2.016;0.576;3912.39
1146.00;47.00;0.165;1.98;0.582;3902.40
1147.00;48.00;0.168;2.016;0.591;3887.41
1148.00;49.00;0.167;2.004;0.574;3882.41
1149.00;50.00;0.167;2.004;0.61;3870.00
1150.00;51.00;0.166;1.992;0.565;3852.43
1151.00;52.00;0.166;1.992;0.587;3837.44
